"Reference","Value","Footprint","Qty","DNP"
"C1,C4,C6,C9,C18,C24","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","6","-- 混合值 --"
"C2,C5,C7,C8,C10,C12,C13,C16,C17,C19,C20,C22","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","12","-- 混合值 --"
"C3","220uF","PCM_Capacitor_THT_US_AKL:CP_Radial_D8.0mm_P3.50mm","1",""
"C11","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","1","DNP (不作装配)"
"C14","100uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C15,C21,C23","10nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3",""
"D1","1N4148","PCM_Diode_THT_AKL:D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp","1",""
"DZ1","1N4735A","Diode_THT:D_DO-41_SOD81_P3.81mm_Vertical_KathodeUp","1",""
"H1,H2","~","MountingHole:MountingHole_3mm_Pad","2",""
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J2","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"J3,J4","Screw_Terminal_3_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal","2",""
"LED1","红灯","PCM_LED_THT_AKL:LED_D3.0mm","1",""
"P1","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"Q1","Si2302CDS","PCM_Package_TO_SOT_SMD_AKL:SOT-23","1",""
"R1","1.2KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2,R3","5.1KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R4","10kΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R5,R8,R10","10KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","3","-- 混合值 --"
"R6","100K","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R7,R11,R15,R16,R17","100KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","5",""
"R9","1MΩ？","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R12","1KΩ?","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R13,R18","47KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","-- 混合值 --"
"R14","1MΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"S1","D203S_TO-5-3","Package_TO_SOT_THT:TO-5-3","1",""
"SW1","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","1",""
"U1","AZ1117IH-3.3TRE1","PCM_Package_TO_SOT_SMD_AKL:SOT-223-3_TabPin2","1",""
"U2","TP4056_ESOP-8","PCM_Package_SO_AKL:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias2","1",""
"U3","PY32F002AW15S6TU","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","1",""
"U4","LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"USB1","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","1",""
